City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,location_lat,location_long
Agartala,Poor,225,PM2.5,1,28/03/2022,23.8312377,91.2823821
Bagalkot,Good,50,PM2.5,1,28/03/2022,16.1853166,75.6967919
Ballabgarh,Moderate,101,PM10,1,28/03/2022,28.29171395,77.36040706812736
Bathinda,Moderate,108,PM10,1,28/03/2022,30.17911535,75.04710156312628
Bengaluru,Satisfactory,69,PM10,8,28/03/2022,12.9767936,77.590082
Bhagalpur,Moderate,185,PM2.5,1,28/03/2022,25.28669805,87.13225355111148
Bhilai,Satisfactory,69,PM10,1,28/03/2022,21.2120677,81.3732849
Bhiwadi,Poor,207,PM2.5,1,28/03/2022,28.2039413,76.837441
Bhiwani,Poor,275,PM2.5,1,28/03/2022,28.7931703,76.1391283
Bhopal,Moderate,156,O3,1,28/03/2022,23.2584857,77.401989
Bihar Sharif,Poor,300,PM2.5,1,28/03/2022,25.193859,85.5208617
Bilaspur,Satisfactory,56,PM10,1,28/03/2022,28.8680526,79.29838501460121
Bulandshahr,Poor,215,PM2.5,1,28/03/2022,28.38886085,77.97479772598118
Buxar,Poor,234,PM2.5,1,28/03/2022,25.5620715,84.01567204651289
Chamarajanagar,Good,46,PM10,1,28/03/2022,11.9346006,76.9328209
Chandigarh,Moderate,144,"O, PM, PM32.510",3,28/03/2022,30.7334421,76.7797143
Chandrapur,Satisfactory,96,PM10,2,28/03/2022,26.21231825,91.89620684881584
Chennai,Satisfactory,60,"O, PM, CO310",7,28/03/2022,13.0836939,80.270186
Chikkaballapur,Satisfactory,72,PM2.5,1,28/03/2022,13.4352549,77.7306866
Chikkamagaluru,Good,44,PM10,1,28/03/2022,13.5,75.5
Coimbatore,Satisfactory,55,CO,1,28/03/2022,11.0018115,76.9628425
Darbhanga,Poor,203,PM2.5,1,28/03/2022,26.08314325,86.03257096612822
Davanagere,Satisfactory,70,PM10,1,28/03/2022,14.4661266,75.9206361
Delhi,Poor,237,"PM, PM102.5",34,28/03/2022,28.6517178,77.2219388
Dewas,Moderate,124,PM10,1,28/03/2022,23.0,76.166667
Dharuhera,Moderate,173,PM10,1,28/03/2022,28.2055216,76.7953099
Durgapur,Poor,232,PM2.5,1,28/03/2022,23.5350475,87.3380425
Eloor,Satisfactory,80,PM10,1,28/03/2022,10.06977495,76.30790414435911
Faridabad,Poor,230,"PM, O, PM1032.5",4,28/03/2022,28.4031478,77.3105561
Firozabad,Moderate,116,PM2.5,2,28/03/2022,27.17736635,78.38991197951182
Gandhinagar,Moderate,148,"PM, PM2.510",3,28/03/2022,23.2232877,72.6492267
Gaya,Moderate,145,"NO, PM22.5",3,28/03/2022,24.7964355,85.0079563
Ghaziabad,Poor,293,"PM, PM2.510",4,28/03/2022,28.7218316,77.45268496448504
Gorakhpur,Satisfactory,80,PM10,1,28/03/2022,26.6711433,83.36457243864551
Greater Noida,Poor,210,"PM, PM102.5",2,28/03/2022,28.4670734,77.5137649
Gummidipoondi,Good,38,PM10,1,28/03/2022,13.4304882,80.08203490514214
Gurugram,Poor,205,"PM, PM102.5",4,28/03/2022,28.4646148,77.0299194
Guwahati,Poor,234,PM2.5,2,28/03/2022,26.1805978,91.753943
Gwalior,Moderate,114,PM2.5,1,28/03/2022,26.2037247,78.1573628
Hajipur,Moderate,171,PM2.5,1,28/03/2022,25.7205805,85.25555961402884
