,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,location_lat,location_long
0,Agartala,Poor,225,PM2.5,1,28/03/2022,23.8312377,91.2823821
1,Agra,Moderate,140,"PM, O, PM1032.5",6,28/03/2022,27.1752554,78.0098161
2,Ahmedabad,Poor,239,PM2.5,8,28/03/2022,23.0216238,72.5797068
3,Aizawl,Satisfactory,70,PM10,1,28/03/2022,23.7435236,92.7382905
4,Ajmer,Satisfactory,91,PM10,1,28/03/2022,26.4691,74.639
5,Alwar,Satisfactory,83,PM10,1,28/03/2022,27.5,76.5
6,Amaravati,Satisfactory,56,PM10,1,28/03/2022,16.5096679,80.5184535
7,Amritsar,Satisfactory,77,PM10,1,28/03/2022,31.6343083,74.8736788
8,Ankleshwar,Moderate,196,PM2.5,1,28/03/2022,21.6293206,72.9945103
9,Araria,Very Poor,337,O3,1,28/03/2022,26.26498795,87.37162648106798
10,Arrah,Moderate,186,PM10,1,28/03/2022,25.62345725,84.59683868653386
11,Asansol,Moderate,135,PM2.5,1,28/03/2022,23.6871297,86.9746587
12,Aurangabad,Moderate,102,PM10,1,28/03/2022,19.877263,75.3390241
13,Bagalkot,Good,50,PM2.5,1,28/03/2022,16.1853166,75.6967919
14,Ballabgarh,Moderate,101,PM10,1,28/03/2022,28.291713950000002,77.36040706812736
15,Bathinda,Moderate,108,PM10,1,28/03/2022,30.17911535,75.04710156312628
16,Bengaluru,Satisfactory,69,PM10,8,28/03/2022,12.9767936,77.590082
17,Bhagalpur,Moderate,185,PM2.5,1,28/03/2022,25.28669805,87.13225355111148
18,Bhilai,Satisfactory,69,PM10,1,28/03/2022,21.2120677,81.3732849
19,Bhiwadi,Poor,207,PM2.5,1,28/03/2022,28.2039413,76.837441
20,Bhiwani,Poor,275,PM2.5,1,28/03/2022,28.7931703,76.1391283
21,Bhopal,Moderate,156,O3,1,28/03/2022,23.2584857,77.401989
22,Bidar,Satisfactory,76,PM10,1,28/03/2022,43.4391702,-1.5898909
23,Bihar Sharif,Poor,300,PM2.5,1,28/03/2022,25.193859,85.5208617
24,Bilaspur,Satisfactory,56,PM10,1,28/03/2022,28.8680526,79.29838501460121
25,Bulandshahr,Poor,215,PM2.5,1,28/03/2022,28.38886085,77.97479772598118
26,Buxar,Poor,234,PM2.5,1,28/03/2022,25.562071500000002,84.01567204651289
27,Chamarajanagar,Good,46,PM10,1,28/03/2022,11.9346006,76.9328209
28,Chandigarh,Moderate,144,"O, PM, PM32.510",3,28/03/2022,30.7334421,76.7797143
29,Chandrapur,Satisfactory,96,PM10,2,28/03/2022,26.21231825,91.89620684881584
30,Chennai,Satisfactory,60,"O, PM, CO310",7,28/03/2022,13.0836939,80.270186
31,Chikkaballapur,Satisfactory,72,PM2.5,1,28/03/2022,13.4352549,77.7306866
32,Chikkamagaluru,Good,44,PM10,1,28/03/2022,13.5,75.5
33,Coimbatore,Satisfactory,55,CO,1,28/03/2022,11.0018115,76.9628425
34,Darbhanga,Poor,203,PM2.5,1,28/03/2022,26.08314325,86.03257096612822
35,Davanagere,Satisfactory,70,PM10,1,28/03/2022,14.4661266,75.9206361
36,Delhi,Poor,237,"PM, PM102.5",34,28/03/2022,28.6517178,77.2219388
37,Dewas,Moderate,124,PM10,1,28/03/2022,23.0,76.166667
38,Dharuhera,Moderate,173,PM10,1,28/03/2022,28.2055216,76.7953099
39,Durgapur,Poor,232,PM2.5,1,28/03/2022,23.5350475,87.3380425
40,Eloor,Satisfactory,80,PM10,1,28/03/2022,10.06977495,76.30790414435911
41,Ernakulam,Satisfactory,85,NO2,1,28/03/2022,9.98408,76.2741457
42,Faridabad,Poor,230,"PM, O, PM1032.5",4,28/03/2022,28.4031478,77.3105561
43,Firozabad,Moderate,116,PM2.5,2,28/03/2022,27.17736635,78.38991197951182
44,Gandhinagar,Moderate,148,"PM, PM2.510",3,28/03/2022,23.2232877,72.6492267
45,Gaya,Moderate,145,"NO, PM22.5",3,28/03/2022,24.7964355,85.0079563
46,Ghaziabad,Poor,293,"PM, PM2.510",4,28/03/2022,28.7218316,77.45268496448504
47,Gorakhpur,Satisfactory,80,PM10,1,28/03/2022,26.6711433,83.36457243864551
48,Greater Noida,Poor,210,"PM, PM102.5",2,28/03/2022,28.4670734,77.5137649
49,Gummidipoondi,Good,38,PM10,1,28/03/2022,13.4304882,80.08203490514214
50,Gurugram,Poor,205,"PM, PM102.5",4,28/03/2022,28.4646148,77.0299194
51,Guwahati,Poor,234,PM2.5,2,28/03/2022,26.1805978,91.753943
